Functional class,Parent Funcional class,Parent of parent Functional class,Economical class,Parent Economical class,Parent of parent Economical class,Date,Amount (1000 HUF)
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,3340
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,199 - Egyéb tárgyi eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,246
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,66
016030 - Állampolgársági ügyek,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,937
016030 - Állampolgársági ügyek,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,253
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,979
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,10097
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,247
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,180
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,14
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,2422
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,38 - Bérleti és lízing díjak,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,2540
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,300
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,9067
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,47 - Reklám és propagandakiadások K,48 - Kiküldetések reklám és propagandakiadások,60 - Dologi kiadások,2014-04-16,36
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,5478
016080 - Kiemelt állami és önkormányzati rendezvények,0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,964
018010 - Önkormányzatok elszámolásai a központi költségvetéssel,0180 - Általános jellegű transzferek a kormányzat különböző szintjei között,0170 - Államadóssággal kapcsolatos tranzakciók,222 - ebből központi költségvetési szervek K,221 - Felhalmozási célú visszatérítendő támogatások kölcsönök törlesztése államháztartáson belülre,270 - Egyéb felhalmozási célú kiadások,2014-04-16,59880
018020 - Központi költségvetési befizetések,0180 - Általános jellegű transzferek a kormányzat különböző szintjei között,0170 - Államadóssággal kapcsolatos tranzakciók,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,2680
018020 - Központi költségvetési befizetések,0180 - Általános jellegű transzferek a kormányzat különböző szintjei között,0170 - Államadóssággal kapcsolatos tranzakciók,130 - Elvonások és befizetések K,194 - Egyéb működési célú kiadások,271 - Költségvetési kiadások,2014-04-16,33877
018030 - Támogatási célú finanszírozási műveletek,0180 - Általános jellegű transzferek a kormányzat különböző szintjei között,0170 - Államadóssággal kapcsolatos tranzakciók,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1126
018030 - Támogatási célú finanszírozási műveletek,0180 - Általános jellegű transzferek a kormányzat különböző szintjei között,0170 - Államadóssággal kapcsolatos tranzakciók,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,7
018030 - Támogatási célú finanszírozási műveletek,0180 - Általános jellegű transzferek a kormányzat különböző szintjei között,0170 - Államadóssággal kapcsolatos tranzakciók,130 - Elvonások és befizetések K,194 - Egyéb működési célú kiadások,271 - Költségvetési kiadások,2014-04-16,115866
018030 - Támogatási célú finanszírozási műveletek,0180 - Általános jellegű transzferek a kormányzat különböző szintjei között,0170 - Államadóssággal kapcsolatos tranzakciók,297 - Belföldi finanszírozás kiadásai,309 - Finanszírozási kiadások,310 - Kiadások összesen,2014-04-16,8742298
"022010 - Polgári honvédelem ágazati feladatai, a lakosság felkészítése",0220 - Polgári honvédelem,0210 - Katonai védelem,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,970
"022010 - Polgári honvédelem ágazati feladatai, a lakosság felkészítése",0220 - Polgári honvédelem,0210 - Katonai védelem,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,227
"022010 - Polgári honvédelem ágazati feladatai, a lakosság felkészítése",0220 - Polgári honvédelem,0210 - Katonai védelem,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,151
"022010 - Polgári honvédelem ágazati feladatai, a lakosság felkészítése",0220 - Polgári honvédelem,0210 - Katonai védelem,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,154
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,85738
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,2 - Normatív jutalmak K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,8239
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,4 - Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,6769
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,6026
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,770
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,10 - Egyéb költségtérítések K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,916
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,2393
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,4355
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,18 - Egyéb külső személyi juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,45
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,29187
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,23 - ebből rehabilitációs hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,1374
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,936
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,26 - ebből táppénz hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,19
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,1042
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,625
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,18923
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,33 - Informatikai szolgáltatások igénybevétele K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,2221
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,34 - Egyéb kommunikációs szolgáltatások K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,647
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,36 - Közüzemi díjak K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,894
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,38 - Bérleti és lízing díjak,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,16026
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,40 - Karbantartási kisjavítási szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,1617
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,10045
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,52800
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,47 - Reklám és propagandakiadások K,48 - Kiküldetések reklám és propagandakiadások,60 - Dologi kiadások,2014-04-16,286
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,27197
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,6067
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,198 - Informatikai eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,8999
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,199 - Egyéb tárgyi eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,27884
031030 - Közterület rendjének fenntartása,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,9472
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,3 - Céljuttatás projektprémium K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1801
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,17 - Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K,19 - Külső személyi juttatások,20 - Személyi juttatások összesen,2014-04-16,9200
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,2722
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,34 - Egyéb kommunikációs szolgáltatások K,35 - Kommunikációs szolgáltatások,60 - Dologi kiadások,2014-04-16,129
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,38 - Bérleti és lízing díjak,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,967
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,43 - Szakmai tevékenységet segítő szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,11636
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,1196
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,47 - Reklám és propagandakiadások K,48 - Kiküldetések reklám és propagandakiadások,60 - Dologi kiadások,2014-04-16,6700
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,4199
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,155 - ebből központi költségvetési szervek K,154 - Egyéb működési célú támogatások államháztartáson belülre,194 - Egyéb működési célú kiadások,2014-04-16,25000
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,184 - ebből egyéb civil szervezetek K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,3750
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,188 - ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,125950
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,199 - Egyéb tárgyi eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,480
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,130
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,261 - ebből egyéb civil szervezetek K,258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre,270 - Egyéb felhalmozási célú kiadások,2014-04-16,1750
031060 - Bűnmegelőzés,0310 - Rendészeti tevékenységek,3 - Közrend és közbiztonság,265 - ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K,258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre,270 - Egyéb felhalmozási célú kiadások,2014-04-16,66374
032010 - Tűz- és katasztrófavédelem igazgatása,0320 - Tűz- és katasztrófavédelemmel kapcsolatos tevékenységek (kivéve: ár- és belvízvédelem),0310 - Rendészeti tevékenységek,184 - ebből egyéb civil szervezetek K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,3750
032010 - Tűz- és katasztrófavédelem igazgatása,0320 - Tűz- és katasztrófavédelemmel kapcsolatos tevékenységek (kivéve: ár- és belvízvédelem),0310 - Rendészeti tevékenységek,261 - ebből egyéb civil szervezetek K,258 - Egyéb felhalmozási célú támogatások államháztartáson kívülre,270 - Egyéb felhalmozási célú kiadások,2014-04-16,1750
"036020 - Jogi segítségnyújtás, áldozatsegítés, kárenyhítés, kárpótlás",0360 - Egyéb közrend és biztonsági ügyek,0350 - Közrendhez és közbiztonsághoz kapcsolódó K+F,58 - Egyéb dologi kiadások K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,17547
041231 - Rövid időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,188 - ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,25000
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,44964
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,13 - Foglalkoztatottak egyéb személyi juttatásai,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,724
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,22 - ebből szociális hozzájárulási adó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,6293
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,26 - ebből táppénz hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,111
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,411
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,7
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,49 - Működési célú előzetesen felszámított általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,104
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,188 - ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K,181 - Egyéb működési célú támogatások államháztartáson kívülre,194 - Egyéb működési célú kiadások,2014-04-16,52123
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,198 - Informatikai eszközök beszerzése létesítése K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,584
041233 - Hosszabb időtartamú közfoglalkoztatás,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,202 - Beruházási célú előzetesen felszámított általános forgalmi adó K,203 - Beruházások,271 - Költségvetési kiadások,2014-04-16,158
041237 - Közfoglalkoztatási mintaprogram,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,605
041237 - Közfoglalkoztatási mintaprogram,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,3 - Céljuttatás projektprémium K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,15
041237 - Közfoglalkoztatási mintaprogram,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,4 - Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,6
041237 - Közfoglalkoztatási mintaprogram,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,6 - Jubileumi jutalom K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,6
041237 - Közfoglalkoztatási mintaprogram,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,7 - Béren kívüli juttatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,22
041237 - Közfoglalkoztatási mintaprogram,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,9 - Közlekedési költségtérítés K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,3
041237 - Közfoglalkoztatási mintaprogram,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,10 - Egyéb költségtérítések K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,1
041237 - Közfoglalkoztatási mintaprogram,0412 - Általános munkaügyek,0411 - Általános gazdasági és kereskedelmi ügyek,12 - Szociális támogatások K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,2
